<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.05	11:15:00	1.09142	1.09227	1.09127	1.09216	1137	0	15
2024.01.05	11:30:00	1.09213	1.09297	1.09160	1.09163	1410	0	15
2024.01.05	11:45:00	1.09162	1.09164	1.09092	1.09122	1022	0	15
2024.01.05	12:00:00	1.09120	1.09123	1.09062	1.09094	916	0	15
2024.01.05	12:15:00	1.09094	1.09103	1.09029	1.09041	792	0	15
2024.01.05	12:30:00	1.09042	1.09105	1.09030	1.09090	785	0	15
2024.01.05	12:45:00	1.09089	1.09130	1.09075	1.09119	861	0	15
2024.01.05	13:00:00	1.09114	1.09136	1.09095	1.09107	780	0	15
2024.01.05	13:15:00	1.09108	1.09152	1.09091	1.09111	931	0	15
2024.01.05	13:30:00	1.09112	1.09156	1.09102	1.09153	765	0	15
2024.01.05	13:45:00	1.09152	1.09167	1.09118	1.09136	864	0	15
2024.01.05	14:00:00	1.09135	1.09181	1.09134	1.09164	918	0	15
2024.01.05	14:15:00	1.09165	1.09169	1.09129	1.09151	889	0	15
2024.01.05	14:30:00	1.09150	1.09189	1.09130	1.09177	772	0	15
2024.01.05	14:45:00	1.09176	1.09200	1.09135	1.09169	824	0	15
2024.01.05	15:00:00	1.09169	1.09213	1.09150	1.09213	1493	0	15
